WI0020222,110002051485,CEDARBURG CITY WWTF,W54 N370 PARK DR,CEDARBURG,WI,POTW,M,2,No,43.289361,-87.974833,Y,CWA-IC-MJ-2.png,,,451,40400030304,40400030304,,35731.41792
WI0020257,110039973767,PRAIRIE DU CHIEN WWTF,WEST LOCKWOOD ST,PRAIRIE DU CHIEN,WI,POTW,M,2,No,43.029972,-91.148389,Y,CWA-IC-MJ-1.png,1,,150,70600011003,,Mercury,0
WI0020338,110000875429,STOUGHTON WASTEWATER TREATMENT FACILITY,700 MANDT PARKWAY PO BOX 383,STOUGHTON,WI,POTW,M,1,No,42.91074,-89.21396,Y,CWA-IC-MJ-1.png,,,109,70900020903,,,119880.563
WI0020362,110000737800,MONROE WASTEWATER TREATMENT FACILITY,"1224-10TH AVENUE WEST, MONROE, WISCONSIN",MONROE,WI,POTW,M,5,No,42.59926,-89.66803,Y,CWA-IC-MJ-2.png,9,,425,70900031004,,"Ammonia|BOD, 5-day, 20 deg. C|Chlorine",55721.46759
WI0020371,110002061553,REEDSBURG WASTEWATER TREATMENT FACILITY,"802 DIVISION STREET, REEDSBURG, WISCONSIN",REEDSBURG,WI,POTW,M,3,No,43.523915,-89.999256,Y,CWA-IC-MJ-2.png,3,,557,70700040304,70700040304,Phosphorus,101209.2795
WI0020427,110039973785,PORTAGE WASTEWATER TREATMENT FACILITY,"1600 EAST WISCONSIN STREET, PORTAGE, WISCONSIN",PORTAGE,WI,POTW,M,1,No,43.538736,-89.44997,Y,CWA-IC-MJ-2.png,,,443,70700031908,,,167832.5753
WI0020435,110001103350,PLATTEVILLE WASTEWATER TREATMENT FACILITY,"1700 WEST GREENWOOD AVENUE, PLATTEVILLE, WISCONSIN",PLATTEVILLE,WI,POTW,M,1,No,42.734417,-90.506306,Y,CWA-IC-MJ-1.png,1,,324,70600030405,,"Solids, total suspended",17260.00162
WI0020460,110002064596,PORT WASHINGTON WWTP,"450 LAKE STREET, PORT WASHINGTON",PORT WASHINGTON,WI,POTW,M,3,Yes,43.391645,-87.86653,Y,CWA-NC-MJ-1.png,1,,234,40301011203,40301011203,Ammonia,158818.9926
WI0020478,110002321167,SUN PRAIRIE WASTEWATER TREATMENT FACILITY,"3040 BAILEY ROAD, SUN PRAIRIE, WISCONSIN",SUN PRAIRIE,WI,POTW,M,2,No,43.15296,-89.23685,Y,CWA-IC-MJ-2.png,4,,401,70900020401,,"Ammonia|BOD, 5-day, 20 deg. C",4414475.453
WI0020559,110002321176,SUSSEX WASTEWATER TREATMENT FACILITY,N59 W23559 CLOVER DR,SUSSEX,WI,POTW,M,9,No,43.12525,-88.217333,Y,CWA-IC-MJ-4.png,17,,1271,71200060102,,Chloride,2840869.86
WI0020605,110002084155,BARABOO WASTEWATER TREATMENT FACILITY,"1000 MANCHESTER STREET, BARABOO, WISCONSIN",BARABOO,WI,POTW,M,1,No,43.45999,-89.72693,Y,CWA-IC-MJ-2.png,,,472,70700040404,,,75355.72781
WI0020681,110039719052,OREGON WASTEWATER TREATMENT FACILITY,"101 NORTH PERRY PARKWAY, OREGON, WISCONSIN",OREGON,WI,POTW,M,2,Yes,42.92578,-89.37869,Y,CWA-NC-MJ-1.png,1,,342,70900020801,,Oxygen,26314.40411
WI0020737,110005490762,SPARTA WASTEWATER TREATMENT FACILITY,"805 RICHGRUBER RD, SPARTA, WI",SPARTA,WI,POTW,M,2,No,43.936742,-90.81691,Y,CWA-IC-MJ-1.png,2,,333,70400060306,,Ammonia,94113.15372
WI0020745,110013325990,ALGOMA WASTEWATER TREATMENT FA,6TH ST,ALGOMA,WI,POTW,N,1,No,44.611677,-87.441076,Y,CWA-UNK-MN-1.png,,,198,40301020204,40301020204,,
WI0020753,110010889609,ONTARIO WASTEWATER TREATMENT FACILITY,"205 STATE STREET, ONTARIO, WI",ONTARIO,WI,POTW,N,1,No,43.720778,-90.589472,Y,CWA-UNK-MN-3.png,,,1060,70700060301,,,
WI0020796,110010889645,ST CROIX FALLS CITY OF,"301 SOUTH RIVER STREET, ST CROIX FALLS, WISCONSIN",ST CROIX FALLS,WI,POTW,N,1,No,45.408556,-92.646175,Y,CWA-UNK-MN-1.png,,,292,70300050902,,,
WI0020800,110010889654,FREDONIA MUNICIPAL SEWER AND WATER UTILITY,210 PARK ROAD,FREDONIA,WI,POTW,N,1,No,43.4739,-87.9918,Y,CWA-UNK-MN-1.png,,,334,40400030602,40400030602,,
WI0021024,110002049177,MARSHFIELD WASTEWATER TREATMENT FACILITY,3411 S GALVIN AVE,MARSHFIELD,WI,POTW,M,2,No,44.641452,-90.140469,Y,CWA-IC-MJ-1.png,2,,179,70700030201,,"BOD, carbonaceous [5 day, 5 C]|Phosphorus",1271035.34
WI0021032,110039975827,RIPON WASTEWATER TREATMENT FACILITY,"560 ASPEN STREET, RIPON, WISCONSIN",RIPON,WI,POTW,M,3,No,43.85264,-88.85382,Y,CWA-IC-MJ-1.png,3,,87,40302010901,40302010901,"BOD, 5-day, 20 deg. C|Solids, total suspended",2418291.08
WI0021113,110039959275,STURGEON BAY UTILITIES WWTF,"670 SHORECREST DRIVE, STURGEON BAY, WISCONSIN",STURGEON BAY,WI,POTW,M,1,No,44.823426,-87.377211,Y,CWA-IC-MJ-1.png,,,220,40301020401,40301020401,,62340.52807
WI0021181,110002050182,OCONOMOWOC WASTEWATER TREATMENT PLNT,900 S WORTHINGTON ST.,OCONOMOWOC,WI,POTW,M,8,Yes,43.10056,-88.50308,Y,CWA-NC-MJ-1.png,15,,88,70900010504,,"BOD, 5-day, 20 deg. C|Chloride",19691.32139
WI0021288,110010889299,RUDOLPH VILLAGE OF,MAIN STREET,RUDOLPH,WI,POTW,N,1,No,44.488944,-89.802222,Y,CWA-IC-MN-G.png,,,4246,70700030306,,,
WI0021318,110039961556,TOMAH WASTEWATER TREATMENT FACILITY,"520 INDUSTRIAL AVE., TOMAH, WI",TOMAH,WI,POTW,M,6,Yes,43.99253,-90.474634,Y,CWA-NC-MJ-2.png,20,,388,70700031504,,"Ammonia|BOD, 5-day, 20 deg. C|Oxygen|Phosphorus|Solids, total suspended",53689.19996
WI0021351,110010889342,DOUSMAN WASTEWATER TREATMENT FACILITY,"130 MUNICIPAL GARAGE RD., P.O. BOX 264, DOUSMAN WI",DOUSMAN,WI,POTW,N,1,No,43.020194,-88.478417,Y,CWA-UNK-MN-1.png,,,325,70900020303,,,
WI0021431,110010889388,PLUM CITY WASTEWATER TREATMENT PLANT,"319 MAPLE AVE EAST, PLUM CITY, WI",PLUM CITY,WI,POTW,N,1,No,44.629223,-92.189379,Y,CWA-UNK-MN-1.png,,,117,70500051101,70500051101,,
WI0021521,110010847156,SPENCER WASTEWATER TREATMENT FACILITY,"610 EAST DEPOT ST, SPENCER, WI",SPENCER,WI,POTW,N,1,No,44.753783,-90.292344,Y,CWA-UNK-MN-G.png,,,1866,70700021702,70700021702,,
WI0021555,110010889440,SAUKVILLE VILLAGE SEWER UTILITY,1600 COTTONTAIL DRIVE,SAUKVILLE,WI,POTW,M,1,No,43.37523,-87.93918,Y,CWA-IC-MJ-1.png,,,53,40400030603,40400030603,,28127.77064
WI0021695,110010848100,TWIN LAKES WASTEWATER TREATMENT FAC,901 GATEWOOD DRIVE,TWIN LAKES,WI,POTW,M,1,No,42.53105,-88.25554,Y,CWA-IC-MJ-1.png,2,,353,71200061006,,"BOD, 5-day, 20 deg. C|pH",1156228.838
WI0021806,110010888968,JACKSON SEWAGE TREATMENT PLANT,W194 N16658 EAGLE DR,JACKSON,WI,POTW,M,3,Yes,43.324507,-88.150001,Y,CWA-NC-MJ-1.png,6,,82,40400030303,40400030303,"Ammonia|BOD, 5-day, 20 deg. C|Solids, total suspended",397891.6471
WI0021865,110000736124,RICE LAKE UTILITIES CITY OF,1112 S. WISCONSIN AVENUE,RICE LAKE,WI,POTW,M,6,No,45.48815,-91.74719,Y,CWA-IC-MJ-1.png,12,,262,70500070309,,"BOD, carbonaceous [5 day, 5 C]|Coliform, fecal general|Phosphorus|Solids, total suspended",677179.2725
WI0022047,110039716518,WHITELAW WASTEWATER TREATMENT FACILITY,"312 NORTH HICKORY STREET, WHITELAW, WISCONSIN",WHITELAW,WI,POTW,N,1,No,44.14667,-87.83072,Y,CWA-UNK-MN-2.png,,,598,40301010502,40301010502,,
WI0022136,110010848510,BROKAW WASTEWATER TREATMENT FACILITY,"BROKAW STP, SOUTH EVEREST AVE., BROKAW, WI",BROKAW,WI,POTW,N,1,No,45.025194,-89.648583,Y,CWA-UNK-MN-2.png,,,564,70700021402,70700021402,,
WI0022144,110039957990,ANTIGO CITY OF,"N2420 KOSZAREK ROAD, ANTIGO, WISCONSIN",ANTIGO,WI,POTW,M,1,No,45.114699,-89.16452,Y,CWA-IC-MJ-1.png,1,,83,70700021103,70700021103,pH,82881.07105
WI0022217,110039717072,CUBA CITY WASTEWATER TREATMENT FACILITY,"700 SOUTH SPLINTER STREET, CUBA CITY, WISCONSIN",CUBA CITY,WI,POTW,N,1,Yes,42.60198,-90.42762,Y,CWA-NC-MN-2.png,,,382,70600050306,70600050306,,
WI0022438,110010888726,WRIGHTSTOWN SAN DIST NO 1,SANITARY RD,GREENLEAF,WI,POTW,N,1,No,44.31484,-88.09185,Y,CWA-UNK-MN-3.png,,,1018,40302040301,,,
WI0022489,110002050119,FORT ATKINSON WASTEWATER TREATMENT FACILITY,"1600 FARMCO LANE, FORT ATKINSON, WISCONSIN",FORT ATKINSON,WI,POTW,M,1,No,42.905361,-88.866361,Y,CWA-IC-MJ-1.png,1,,185,70900021001,70900021001,"BOD, 5-day, 20 deg. C",54075.88656
WI0022837,110010848477,LAKELAND SANITARY DISTRICT,8780 MORGAN ROAD,MINOCQUA,WI,POTW,N,1,No,45.88599,-89.73189,Y,CWA-UNK-MN-2.png,,,544,70700010803,,,
WI0022926,110039962751,BURLINGTON WATER POLLUTION CONTROL,2100 S. PINE STREET,BURLINGTON,WI,POTW,M,2,No,42.668134,-88.266937,Y,CWA-IC-MJ-2.png,,,521,71200061002,71200061002,,273390.5957
WI0023051,110010888272,LEBANON SANITARY DIST 2,"HIDDEN MEADOWS PARKWAY, RT. 2",WATERTOWN,WI,NON-POTW,N,1,No,43.200944,-88.615194,Y,CWA-UNK-MN-3.png,,,906,70900010606,,,
WI0023159,110010894498,ADAMS WASTEWATER TREATMENT FACILITY,"1002 WEST LAKE ST, VILLAGE OF FRIENDSHIP, WI",FRIENDSHIP,WI,POTW,N,1,No,43.977139,-89.830111,Y,CWA-UNK-MN-2.png,,,367,70700030904,,,
WI0023221,110039958025,APPLETON CITY WWTF,59 WEIMAR COURT,APPLETON,WI,POTW,M,2,No,44.264766,-88.376785,Y,CWA-IC-MJ-2.png,3,,391,40302040205,40302040205,Ammonia,329195.3167
WI0023230,110002050226,ARCADIA WASTEWATER TREATMENT FACILITY,"1070 MIDDLE ROAD, ARCADIA, WI",ARCADIA,WI,POTW,M,4,No,44.23727,-91.51195,Y,CWA-IC-MJ-G.png,4,,2918,70400050501,,"BOD, 5-day, 20 deg. C",239688.3484
WI0023345,110002050299,BEAVER DAM WASTEWATER TREATMENT FACILITY,108 MYRTLE ROAD,BEAVER DAM,WI,POTW,M,2,No,43.44205,-88.84435,Y,CWA-IC-MJ-3.png,2,,913,70900010908,,"Solids, total suspended",375548.3891
WI0023361,110039714360,BELLEVILLE WASTEWATER TREATMENT FACILITY,"105 REMY ROAD, BELLEVILLE, WISCONSIN",BELLEVILLE,WI,POTW,N,1,Yes,42.85403,-89.52796,Y,CWA-NC-MN-2.png,,,670,70900040502,70900040502,,
WI0023370,110005513060,BELOIT WASTEWATER TREATMENT FACILITY,555 WILLOWBROOK ROAD,BELOIT,WI,POTW,M,2,Yes,42.499208,-88.995781,Y,CWA-NC-MJ-1.png,1,,108,70900021502,,Mercury,500756.1841
WI0023469,110039962644,"BROOKFIELD, CITY OF",21225 ENTERPRISE AVE,BROOKFIELD,WI,POTW,M,1,No,43.052426,-88.176427,Y,CWA-IC-MJ-1.png,13,,46,71200060105,71200060105,Chloride|Chlorine|Oxygen,15534328.4
WI0023523,110010888423,CAMBRIA WASTEWATER TREATMENT FACILITY,"200 CTH ""P"", CAMBRIA, WISCONSIN",CAMBRIA,WI,POTW,N,1,No,43.5631,-89.1271,Y,CWA-UNK-MN-G.png,,,2158,70700050102,,,
WI0023604,110002050244,CHIPPEWA FALLS WWTP,"1125 WEST RIVER ST, CHIPPEWA FALLS, WI",CHIPPEWA FALLS,WI,POTW,M,3,Yes,44.92813,-91.40921,Y,CWA-NC-MJ-1.png,2,,263,70500050501,,Chlorine|Phosphorus,222230.8201
WI0023850,110002049239,EAU CLAIRE WASTEWATER TREATMENT FACILITY,"1000 FERRY ST., EAU CLAIRE, WI",EAU CLAIRE,WI,POTW,M,3,No,44.785497,-91.538973,Y,CWA-IC-MJ-2.png,5,,381,70500050705,70500050705,"Solids, total suspended",0
WI0023990,110000423346,FOND DU LAC WATER POLLUTION CONTROL PLANT,"700 DOTY STREET, FOND DU LAC, WISCONSIN",FOND DU LAC COUNTY,WI,POTW,M,2,No,43.79541,-88.45043,Y,CWA-IC-MJ-1.png,1,,158,40302030401,,Phosphorus,0
WI0024040,110010888003,FOUNTAIN CITY WWTF,"707 SOUTH MAIN, FOUNTAIN CITY, WI",FOUNTAIN CITY,WI,POTW,N,1,No,44.122666,-91.70675,Y,CWA-UNK-MN-G.png,,,2432,70400030606,,,
WI0024279,110039977111,HUDSON CITY WWTF,329 FRONT ST,HUDSON,WI,POTW,M,1,No,44.96692,-92.75513,Y,CWA-IC-MJ-1.png,,,72,70300051205,,,0
WI0024333,110002050315,JEFFERSON WASTEWATER TREATMENT FACILITY,"221 EAST HENRY STREET, JEFFERSON, WISCONSIN",JEFFERSON,WI,POTW,M,1,No,42.99432,-88.80546,Y,CWA-IC-MJ-1.png,,,79,70900011105,70900011105,,79937.14358
WI0024597,110005512276,MADISON METRO SEW DIST WWTF,1610 MOORLAND RD,MADISON,WI,POTW,M,4,Yes,43.03431,-89.34628,Y,CWA-NC-MJ-2.png,7,,376,70900040201,70900020702,"BOD, 5-day, 20 deg. C|Chloride|Oxygen",50831032.7
WI0024601,110039961397,MANITOWOC WASTEWATER TREATMENT FACILITY,1015 SOUTH LAKEVIEW DR,MANITOWOC,WI,POTW,M,7,Yes,44.08812,-87.65223,Y,CWA-NC-MJ-1.png,13,,179,40301010604,,"BOD, 5-day, 20 deg. C|Chlorine|Coliform, fecal general",0
WI0024643,110002049131,MAYVILLE WASTEWATER TREATMENT FACILITY,400 KEKOSKEE STREET,MAYVILLE,WI,POTW,M,2,No,43.50377,-88.54885,Y,CWA-IC-MJ-1.png,2,,65,70900010107,,"Oxygen|Solids, total suspended",1251982.846
WI0024686,110005449274,GRAND CHUTE MENASHA WEST WWTF,1965 W BUTTE DES MORTS RD,NEENAH,WI,POTW,M,2,No,44.22833,-88.46568,Y,CWA-IC-MJ-2.png,3,,424,40302040201,,"Solids, total suspended",807280.0582
WI0024708,110002050128,MENOMONIE WASTEWATER TREATMENT FACILITY,"620  11TH AVE  WEST, MENOMONIE, WI",MENOMONIE,WI,POTW,M,2,No,44.8745,-91.937222,Y,CWA-IC-MJ-2.png,2,,369,70500071006,70500071006,Chlorine|pH,184726.538
WI0024929,110002050100,NEW LONDON WASTEWATER TREATMENT FACILITY,"1010 W. WOLF RIVER AVE., NEW LONDON, WISCONSIN",NEW LONDON,WI,POTW,M,1,No,44.39061,-88.75305,Y,CWA-IC-MJ-1.png,,,157,40302021902,,,67904.73351
WI0025038,110039971858,OSHKOSH WASTEWATER TREATMENT PLANT,233 CAMPBELL ROAD,OSHKOSH,WI,POTW,M,1,No,44.02038,-88.55651,Y,CWA-IC-MJ-2.png,1,,523,40302011205,,Mercury,503721.2562
WI0025062,110010888209,PADDOCK LAKE WASTEWATER TRTMNT FAC,23201 62ND STREET,PADDOCK LAKE,WI,POTW,N,1,Yes,42.58083,-88.09281,Y,CWA-NC-MN-G.png,,,1993,71200040101,71200040101,,
WI0025194,110000419360,RACINE WASTEWATER UTILITY,2101 SOUTH WISCONSIN AVENUE,RACINE,WI,POTW,M,2,No,42.70437,-87.78493,Y,CWA-IC-MJ-2.png,1,,514,40400020401,,Mercury,1184081.651
WI0025411,110002050333,SHEBOYGAN WASTEWATER TREATMENT PLANT,3333 LAKESHORE DRIVE,SHEBOYGAN,WI,POTW,M,1,No,43.71981,-87.71033,Y,CWA-IC-MJ-2.png,,,649,40301011109,,,0
WI0025593,110000579017,SUPERIOR SEWAGE DISPOSAL SYSTEM,AVENUE E,SUPERIOR,WI,POTW,M,7,Yes,46.726903,-92.072125,Y,CWA-NC-MJ-3.png,22,,1006,40103010503,40102011604,"BOD, carbonaceous [5 day, 5 C]|Chlorine|Mercury|Phosphorus|Solids, total suspended",505032.3404
WI0025739,110027215500,WAUSAU WATER WORKS WW TREATMENT FACILITY,"435 ADRIAN STREET, WAUSAU, WI 54403",WAUSAU,WI,POTW,M,3,Yes,44.9471,-89.62699,Y,CWA-NC-MJ-4.png,3,,1307,70700021403,,Phosphorus|pH,502821.275
WI0025763,110002049211,WEST BEND CITY,512 MUNICIPAL DRIVE,WEST BEND,WI,POTW,M,12,Yes,43.41954,-88.14897,Y,CWA-NC-MJ-1.png,34,,333,40400030209,,Chloride,0
WI0025844,110002051519,WISCONSIN RAPIDS CITY WWTF,2540 FIRST ST SOUTH,WISCONSIN RAPIDS,WI,POTW,M,2,No,44.37213,-89.83233,Y,CWA-IC-MJ-1.png,1,,326,70700030704,,"BOD, 5-day, 20 deg. C",178265.509
WI0026042,110000422141,DOMTAR PAPER CO LLC,BUSINESS HIGHWAY 51 SOUTH,ROTHSCHILD,WI,NON-POTW,M,1,No,44.88913,-89.6248,Y,CWA-IC-MJ-3.png,1,,753,70700021803,,Chlorine,1467374.518
WI0026085,110000541799,NEENAH MENASHA SEWER COMMISSIO,101 GARFIELD AVE,MENASHA,WI,POTW,M,1,No,44.1962,-88.46159,Y,CWA-IC-MJ-1.png,,,361,40302040201,,,0
WI0026182,110002049257,MARINETTE WASTEWATER UTILITY,"1603 ELY STREET, MARINETTE, WISCONSIN",MARINETTE,WI,POTW,M,5,No,45.09767,-87.62223,Y,CWA-IC-MJ-1.png,,,236,40301080913,,,55100.82446
WI0026352,110010887843,ROCKDALE WWTF,COUNTY HIGHWAY B,ROCKDALE,WI,POTW,N,1,Yes,43.808333,-88.672222,Y,CWA-NC-MN-2.png,,,598,70900020405,,,
WI0026514,110000418968,BRIGGS STRATTON CORP WAUWATOSA,3300 N 124TH ST,WAUWATOSA,WI,NON-POTW,N,1,Yes,43.07921,-88.06642,Y,CWA-NC-MN-2.png,,,465,40400030405,,,
WI0026590,110002051341,TWO RIVERS WASTEWATER TREATMENT FACILITY,"1415 LAKE ST., TWO RIVERS, WISCONSIN",TWO RIVERS,WI,POTW,M,1,No,44.14467,-87.56724,Y,CWA-IC-MJ-2.png,,,599,40301010205,,,2219.97816
